address_found,taxes_found,tax_year,tax_amount,market_value,land_value,building_value,address
0,0,0,0.0,0.0,0.0,0.0,2706 Salisbury Ct N
0,0,0,0.0,0.0,0.0,0.0,2708 Salisbury Ct N
0,0,0,0.0,0.0,0.0,0.0,2710 Salisbury Ct N
0,0,0,0.0,0.0,0.0,0.0,2712 Salisbury Ct N
0,0,0,0.0,0.0,0.0,0.0,2714 Salisbury Ct N
0,0,0,0.0,0.0,0.0,0.0,2716 Salisbury Ct N
1,1,2019,7746.0,256500.0,57810.0,198690.0,2718 Salisbury St
1,1,2019,8662.0,286830.0,57810.0,229020.0,2720 Salisbury St
1,1,2019,9386.0,310800.0,57810.0,252990.0,2722 Salisbury St
1,1,2019,9265.0,306780.0,57810.0,248970.0,902 Galen Dr
0,0,0,0.0,0.0,0.0,0.0,2701 Salisbury Ct N
0,0,0,0.0,0.0,0.0,0.0,2705 Salisbury Ct N
0,0,0,0.0,0.0,0.0,0.0,2707 Salisbury Ct N
0,0,0,0.0,0.0,0.0,0.0,2709 Salisbury Ct N
1,1,2019,11606.0,384300.0,66060.0,318240.0,1004 Galen Dr
1,1,2019,9603.0,317970.0,61980.0,255990.0,1006 Galen Dr
1,1,2019,10662.0,353040.0,61980.0,291060.0,1008 Galen Dr
1,1,2019,9338.0,309210.0,61980.0,247230.0,1010 Galen Dr
1,1,2019,12717.0,421110.0,99030.0,322080.0,910 Galen Dr
1,1,2019,10191.0,337470.0,99030.0,238440.0,2715 Salisbury St
1,1,2019,13864.0,459090.0,82590.0,376500.0,1009 Galen Dr
1,1,2019,30680.0,1015890.0,74280.0,941610.0,1007 Galen Dr
1,1,2019,11949.0,395670.0,74280.0,321390.0,1005 Galen Dr
1,1,2019,11369.0,376470.0,66060.0,310410.0,2803 Salisbury St
0,0,0,0.0,0.0,0.0,0.0,2815 Salisbury Ct S
0,0,0,0.0,0.0,0.0,0.0,2818 Salisbury Ct S
0,0,0,0.0,0.0,0.0,0.0,2816 Salisbury Ct S
0,0,0,0.0,0.0,0.0,0.0,2814 Salisbury Ct S
1,1,2019,6761.0,223890.0,57810.0,166080.0,2804 Salisbury St
1,1,2019,9574.0,317010.0,57810.0,259200.0,901 Galen Dr
1,1,2019,17210.0,569880.0,132030.0,437850.0,905 Galen Dr
1,1,2019,16329.0,540690.0,58590.0,482100.0,14 Bel Air Ct
1,1,2019,4039.0,133740.0,39540.0,94200.0,1602 S Prospect Ave
1,1,2019,3529.0,116880.0,39540.0,77340.0,811 W Kirby Ave
1,1,2019,6958.0,230400.0,76860.0,153540.0,805 W Kirby Ave
1,1,2019,6034.0,199800.0,76860.0,122940.0,801 W Kirby Ave
1,1,2019,7399.0,245010.0,76860.0,168150.0,705 W Kirby Ave
